Frame,Tracker,Is_inside
75,BOOSTING,True
75,MEDIANFLOW,True
75,MOSSE,True
76,Fused,True
76,CSRT,True
76,KCF,True
76,MIL,True
76,BOOSTING,True
76,MEDIANFLOW,True
76,MOSSE,True
77,Fused,True
77,CSRT,True
77,KCF,True
77,MIL,True
77,BOOSTING,True
77,MEDIANFLOW,True
77,MOSSE,True
78,Fused,True
78,CSRT,True
78,KCF,True
78,MIL,True
78,BOOSTING,True
78,MEDIANFLOW,True
78,MOSSE,True
79,Fused,True
79,CSRT,True
79,KCF,True
79,MIL,True
79,BOOSTING,True
79,MEDIANFLOW,True
79,MOSSE,True
80,Fused,True
80,CSRT,True
80,KCF,True
80,MIL,True
80,BOOSTING,True
80,MEDIANFLOW,True
80,MOSSE,True
81,Fused,True
81,CSRT,True
81,KCF,True
81,MIL,True
81,BOOSTING,True
81,MEDIANFLOW,True
81,MOSSE,True
82,Fused,True
82,CSRT,True
82,KCF,True
82,MIL,True
82,BOOSTING,True
82,MEDIANFLOW,True
82,MOSSE,True
83,Fused,True
83,CSRT,True
83,KCF,True
83,MIL,True
83,BOOSTING,True
83,MEDIANFLOW,True
83,MOSSE,True
84,Fused,True
84,CSRT,True
84,KCF,True
84,MIL,True
84,BOOSTING,True
84,MEDIANFLOW,True
84,MOSSE,True
85,Fused,True
85,CSRT,True
85,KCF,True
85,MIL,True
85,BOOSTING,True
85,MEDIANFLOW,True
85,MOSSE,True
86,Fused,True
86,CSRT,True
86,KCF,True
86,MIL,True
86,BOOSTING,True
86,MEDIANFLOW,True
86,MOSSE,True
87,Fused,True
87,CSRT,True
87,KCF,True
87,MIL,True
87,BOOSTING,True
87,MEDIANFLOW,True
87,MOSSE,True
88,Fused,True
88,CSRT,True
88,KCF,True
88,MIL,True
88,BOOSTING,True
88,MEDIANFLOW,True
88,MOSSE,True
89,Fused,True
89,CSRT,True
89,KCF,True
89,MIL,True
89,BOOSTING,True
89,MEDIANFLOW,True
89,MOSSE,True
90,Fused,True
90,CSRT,True
90,KCF,True
90,MIL,True
90,BOOSTING,True
90,MEDIANFLOW,True
90,MOSSE,True
91,Fused,True
91,CSRT,True
91,KCF,True
91,MIL,True
91,BOOSTING,True
91,MEDIANFLOW,True
91,MOSSE,True
92,Fused,True
92,CSRT,True
92,KCF,True
92,MIL,True
92,BOOSTING,True
92,MEDIANFLOW,True
92,MOSSE,True
93,Fused,True
93,CSRT,True
93,KCF,True
93,MIL,True
93,BOOSTING,True
93,MEDIANFLOW,True
93,MOSSE,True
94,Fused,True
94,CSRT,True
94,KCF,True
94,MIL,True
94,BOOSTING,True
94,MEDIANFLOW,True
94,MOSSE,True
95,Fused,True
95,CSRT,True
95,KCF,True
95,MIL,True
95,BOOSTING,True
95,MEDIANFLOW,True
95,MOSSE,True
96,Fused,True
96,CSRT,True
96,KCF,True
96,MIL,True
96,BOOSTING,True
96,MEDIANFLOW,True
96,MOSSE,True
97,Fused,True
97,CSRT,True
97,KCF,True
97,MIL,True
97,BOOSTING,True
97,MEDIANFLOW,True
97,MOSSE,True
98,Fused,True
98,CSRT,True
98,KCF,True
98,MIL,True
98,BOOSTING,True
98,MEDIANFLOW,True
98,MOSSE,True
99,Fused,True
99,CSRT,True
99,KCF,True
99,MIL,True
99,BOOSTING,True
99,MEDIANFLOW,True
99,MOSSE,True
100,Fused,True
100,CSRT,True
100,KCF,True
100,MIL,True
100,BOOSTING,True
100,MEDIANFLOW,True
100,MOSSE,True
101,Fused,True
101,CSRT,True
101,KCF,True
101,MIL,True
101,BOOSTING,True
101,MEDIANFLOW,True
101,MOSSE,True
102,Fused,True
102,CSRT,True
102,KCF,True
102,MIL,True
102,BOOSTING,True
102,MEDIANFLOW,True
102,MOSSE,True
103,Fused,True
103,CSRT,True
103,KCF,True
103,MIL,True
103,BOOSTING,True
103,MEDIANFLOW,True
103,MOSSE,True
104,Fused,True
104,CSRT,True
104,KCF,True
104,MIL,True
104,BOOSTING,True
104,MEDIANFLOW,True
104,MOSSE,True
105,Fused,True
105,CSRT,True
105,KCF,True
105,MIL,True
105,BOOSTING,True
105,MEDIANFLOW,True
105,MOSSE,True
106,Fused,True
106,CSRT,True
106,KCF,True
106,MIL,True
106,BOOSTING,True
106,MEDIANFLOW,True
106,MOSSE,True
107,Fused,True
107,CSRT,True
