Frame,Tracker,IoU
60,KCF,0.6324795188219434
60,MIL,0.706449864498645
60,BOOSTING,0.7350380249090709
60,MOSSE,0.7169644826825502
60,Fused,0.6420326074021183
61,CSRT,0.5865674984222206
61,KCF,0.6007135838774643
61,MIL,0.6971111932028076
61,BOOSTING,0.7383512816049765
61,MEDIANFLOW,0.5950351931330472
61,MOSSE,0.7461079889234515
61,Fused,0.6398321602982557
62,CSRT,0.5326626443163119
62,KCF,0.5387702911532624
62,MIL,0.693193788184308
62,BOOSTING,0.5953537172388859
62,MOSSE,0.7427202080372531
62,Fused,0.6233476075218768
63,CSRT,0.5304028924951651
63,KCF,0.5353085073939252
63,MIL,0.6145300953251769
63,BOOSTING,0.6237930206224479
63,MOSSE,0.7853634794920579
63,Fused,0.6344192644314528
64,CSRT,0.5013327852320973
64,KCF,0.5255353448332126
64,MIL,0.5947070742906265
64,BOOSTING,0.5895990315823835
64,MOSSE,0.8194788798807477
64,Fused,0.6330422186006992
65,CSRT,0.6120277965806976
65,KCF,0.6021973274079561
65,MIL,0.5855602724246404
65,BOOSTING,0.6525863441031354
65,MEDIANFLOW,0.6850485436893204
65,MOSSE,0.6875696323412382
65,Fused,0.6615438484800255
66,CSRT,0.6344308968249056
66,KCF,0.6195753501950299
66,MIL,0.5660489251297257
66,BOOSTING,0.6344308968249056
66,MEDIANFLOW,0.6818097419075323
66,MOSSE,0.6684409234387572
66,Fused,0.6446741350498236
67,CSRT,0.6266948147980899
67,KCF,0.5786077964303051
67,MIL,0.5639532932926216
67,BOOSTING,0.5786077964303051
67,MOSSE,0.6096253062238228
67,Fused,0.59172602987164
68,CSRT,0.6096200307489568
68,KCF,0.5628431803206677
68,MIL,0.5557529379611916
68,BOOSTING,0.5628431803206677
68,MEDIANFLOW,0.5894575005490885
68,MOSSE,0.5930155941137711
68,Fused,0.5792883812870635
69,CSRT,0.5976217573878576
69,MIL,0.5746859004187994
69,BOOSTING,0.5746859004187994
69,MOSSE,0.6054931685793897
69,Fused,0.5877152163797115
70,CSRT,0.6106729150853107
70,KCF,0.576598132074849
70,MIL,0.5638152756234668
70,BOOSTING,0.5638152756234668
70,MEDIANFLOW,0.5867518123714289
70,MOSSE,0.5940398006666446
70,Fused,0.5816639714860896
71,CSRT,0.5971296368912242
71,KCF,0.5872312535711485
71,MIL,0.5454700441061627
71,BOOSTING,0.5742126667936408
71,MEDIANFLOW,0.6301354515612221
71,MOSSE,0.6049945662525068
71,Fused,0.5923905127889129
72,CSRT,0.5645645645645646
72,KCF,0.5552059996504441
72,MIL,0.5428973947492466
72,BOOSTING,0.5428973947492466
72,MEDIANFLOW,0.6198526568896939
72,MOSSE,0.572000572000572
72,Fused,0.5649829723903798
73,CSRT,0.546087540222047
73,KCF,0.558468472308053
73,MIL,0.546087540222047
73,BOOSTING,0.546087540222047
73,MEDIANFLOW,0.6415123489675454
73,MOSSE,0.5753617320519104
73,Fused,0.5669657127027085
74,CSRT,0.5549870599573358
74,KCF,0.5675697625312672
74,MIL,0.5549870599573358
74,BOOSTING,0.5549870599573358
74,MEDIANFLOW,0.6720051110461401
74,MOSSE,0.5847383295975052
74,Fused,0.5789234317642855
75,CSRT,0.510373917008664
75,KCF,0.5432004725780376
75,MIL,0.531158023463085
75,BOOSTING,0.531158023463085
75,MEDIANFLOW,0.6587903660407081
75,MOSSE,0.5596318865812709
75,Fused,0.5527660324171952
76,CSRT,0.5017396398461578
76,KCF,0.5340108504622908
76,MIL,0.5221721301036653
76,BOOSTING,0.5221721301036653
76,MOSSE,0.5501642851684878
76,Fused,0.5259468683935712
77,CSRT,0.46743713575315987
77,KCF,0.5181833011206074
77,MIL,0.506695468633373
77,BOOSTING,0.506695468633373
77,MEDIANFLOW,0.5194141403156682
77,MOSSE,0.5338579641227675
77,Fused,0.5070760895892754
78,CSRT,0.4441933983756641
78,KCF,0.4924161644440478
78,MIL,0.48149957489184403
78,BOOSTING,0.48149957489184403
78,MEDIANFLOW,0.4924161644440478
78,MOSSE,0.5073113905499161
78,Fused,0.48186126912399535
79,CSRT,0.43432017543859647
79,KCF,0.49975686498855837
79,MIL,0.485738075413346
79,BOOSTING,0.48867753623188404
79,MEDIANFLOW,0.4933876811594203
